iter	Passed	Remaining
0	58	58035
1	59	29594
2	59	19825
3	60	15134
4	61	12321
5	63	10513
6	64	9161
7	65	8168
8	67	7453
9	68	6733
10	68	6203
11	69	5727
12	70	5328
13	71	5012
14	72	4738
15	72	4487
16	74	4309
17	75	4118
18	76	3960
19	77	3812
20	78	3655
21	78	3506
22	79	3387
23	81	3332
24	83	3240
25	82	3109
26	84	3034
27	85	2963
28	86	2895
29	87	2839
30	88	2779
31	89	2707
32	90	2656
33	92	2627
34	93	2583
35	94	2537
36	95	2494
37	96	2455
38	97	2409
39	98	2360
40	100	2347
41	100	2298
42	101	2268
43	103	2239
44	104	2213
45	105	2189
46	107	2180
47	109	2163
48	110	2135
49	111	2110
50	112	2084
51	112	2059
52	114	2041
53	115	2026
54	116	2006
55	117	1978
56	119	1972
57	120	1951
58	121	1935
59	122	1913
60	124	1916
61	125	1900
62	126	1878
63	127	1866
64	128	1855
65	130	1843
66	131	1830
67	132	1811
68	133	1800
69	134	1787
70	135	1776
71	136	1754
72	136	1739
73	138	1727
74	139	1718
75	139	1698
76	141	1690
77	142	1680
78	143	1672
79	144	1659
80	145	1649
81	146	1637
82	147	1628
83	148	1619
84	149	1613
85	151	1605
86	151	1589
87	152	1580
88	153	1569
89	153	1554
90	154	1547
91	155	1534
92	156	1525
93	157	1517
94	158	1511
95	159	1505
96	161	1500
97	162	1495
98	163	1490
99	164	1479
100	166	1479
101	167	1470
102	168	1465
103	168	1455
104	170	1449
105	170	1440
106	172	1436
107	173	1430
108	174	1425
109	175	1420
110	176	1416
111	178	1413
112	179	1410
113	181	1407
114	181	1399
115	183	1396
116	184	1391
117	185	1386
118	186	1382
119	188	1382
120	189	1379
121	191	1374
122	192	1370
123	193	1367
124	194	1364
125	197	1372
126	199	1369
127	199	1360
128	200	1356
129	202	1353
130	203	1349
131	204	1342
132	205	1337
133	206	1334
134	207	1330
135	208	1325
136	209	1321
137	211	1318
138	212	1313
139	213	1311
140	214	1307
141	215	1299
142	215	1292
143	217	1291
144	218	1286
145	218	1280
146	220	1276
147	221	1273
148	222	1270
149	224	1269
150	225	1265
151	226	1263
152	227	1260
153	229	1258
154	230	1254
155	231	1250
156	232	1246
157	233	1242
158	233	1236
159	235	1234
160	236	1230
161	236	1225
162	237	1221
163	239	1219
164	240	1216
165	241	1213
166	243	1212
167	244	1210
168	245	1206
169	246	1202
170	247	1200
171	248	1194
172	249	1192
173	250	1189
174	252	1188
175	253	1184
176	254	1185
177	256	1182
178	257	1178
179	258	1177
180	260	1177
181	261	1174
182	262	1171
183	263	1169
184	264	1167
185	266	1166
186	267	1164
187	268	1159
188	269	1157
189	270	1155
190	271	1151
191	273	1148
192	274	1146
193	275	1144
194	276	1143
195	278	1140
196	279	1138
197	280	1136
198	281	1134
199	282	1130
200	284	1129
201	285	1125
202	285	1120
203	286	1116
204	288	1119
205	289	1114
206	290	1112
207	290	1108
208	292	1105
209	293	1102
210	293	1097
211	294	1095
212	295	1093
213	296	1089
214	297	1085
215	298	1083
216	299	1082
217	301	1080
218	302	1078
219	303	1076
220	304	1074
221	306	1072
222	307	1070
223	308	1068
224	309	1065
225	310	1062
226	311	1060
227	312	1058
228	313	1054
229	314	1052
230	315	1049
231	316	1047
232	317	1043
233	318	1042
234	319	1040
235	320	1038
236	322	1038
237	323	1035
238	324	1033
239	325	1032
240	327	1030
241	328	1028
242	329	1025
243	329	1021
244	330	1018
245	331	1016
246	332	1013
247	333	1011
248	334	1009
249	335	1007
250	337	1006
251	338	1004
252	339	1002
253	340	1000
254	341	998
255	343	997
256	344	994
257	344	990
258	345	987
259	346	985
260	346	982
261	348	980
262	348	976
263	349	975
264	350	972
265	351	970
266	352	969
267	354	967
268	355	965
269	356	963
270	357	961
271	358	960
272	360	959
273	361	957
274	362	955
275	363	953
276	364	952
277	365	949
278	366	948
279	367	944
280	368	942
281	368	939
282	369	937
283	371	935
284	372	934
285	373	932
286	374	931
287	375	928
288	376	927
289	378	925
290	379	923
291	380	922
292	380	918
293	381	916
294	382	914
295	383	913
296	384	911
297	386	909
298	387	908
299	388	907
300	389	905
301	390	902
302	392	901
303	393	900
304	394	898
305	394	895
306	395	893
307	396	890
308	397	887
309	397	885
310	398	882
311	399	881
312	400	879
313	401	878
314	402	875
315	403	874
316	404	872
317	406	870
318	406	868
319	407	866
320	408	863
321	408	860
322	409	858
323	410	856
324	411	854
325	412	853
326	414	852
327	414	848
328	414	845
329	415	843
330	416	841
331	417	839
332	418	839
333	420	837
334	420	835
335	422	834
336	423	832
337	424	831
338	425	829
339	425	826
340	426	824
341	427	822
342	428	821
343	429	819
344	430	817
345	431	815
346	432	814
347	433	812
348	435	811
349	435	809
350	437	808
351	438	807
352	439	805
353	440	803
354	441	802
355	442	799
356	443	798
357	444	796
358	445	795
359	446	793
360	446	791
361	448	789
362	448	787
363	449	785
364	450	783
365	451	782
366	453	781
367	454	780
368	454	777
369	455	776
370	456	774
371	457	772
372	458	771
373	459	769
374	460	768
375	461	765
376	462	763
377	463	762
378	464	760
379	465	759
380	466	757
381	467	755
382	468	754
383	469	753
384	470	751
385	471	750
386	473	749
387	473	747
388	474	745
389	475	744
390	477	743
391	478	742
392	479	740
393	480	739
394	481	737
395	482	735
396	483	734
397	484	732
398	485	730
399	486	729
400	487	727
401	488	725
402	488	724
403	490	722
404	491	721
405	492	720
406	493	718
407	494	717
408	495	716
409	496	714
410	497	712
411	498	711
412	499	710
413	500	708
414	501	706
415	502	705
416	503	704
417	504	702
418	505	701
419	507	700
420	508	699
421	509	697
422	510	696
423	511	694
424	512	692
425	513	691
426	514	690
427	515	688
428	516	687
429	517	685
430	517	682
431	518	682
432	520	681
433	521	679
434	522	678
435	523	677
436	524	676
437	525	674
438	526	673
439	527	671
440	528	670
441	529	669
442	530	667
443	532	666
444	533	665
445	534	663
446	535	662
447	536	661
448	537	659
449	539	658
450	540	657
451	541	656
452	542	655
453	543	653
454	544	651
455	545	651
456	546	649
457	547	647
458	548	645
459	549	644
460	550	643
461	551	642
462	552	640
463	553	639
464	554	638
465	555	637
466	556	635
467	557	633
468	558	632
469	559	630
470	560	629
471	561	627
472	561	625
473	562	624
474	563	622
475	564	621
476	565	620
477	567	619
478	568	618
479	569	616
480	570	615
481	571	614
482	572	612
483	573	611
484	574	610
485	575	608
486	576	607
487	577	606
488	578	604
489	579	603
490	579	601
491	580	599
492	581	598
493	582	596
494	583	595
495	584	594
496	585	593
497	587	591
498	588	590
499	589	589
500	590	587
501	591	586
502	592	585
503	593	583
504	594	582
505	595	581
506	596	579
507	597	578
508	598	577
509	599	576
510	600	574
511	601	573
512	602	572
513	603	570
514	604	568
515	605	567
516	606	566
517	607	565
518	608	564
519	609	562
520	610	561
521	611	560
522	612	559
523	614	557
524	615	556
525	616	555
526	617	554
527	618	553
528	619	551
529	620	550
530	622	549
531	623	548
532	624	546
533	625	545
534	626	544
535	628	543
536	628	542
537	630	541
538	631	539
